FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1389739|Inarajan Falls|Falls|GU|66|Guam|010|131719N|1444304E|13.2886111|144.7177778|||||106|348|Inarajan|02/06/1981|
1389740|Inarajan River|Stream|GU|66|Guam|010|131631N|1444441E|13.2752778|144.7447222|131631N|1444441E|13.2752778|144.7447222|15|49|Inarajan|02/06/1981|
1389741|Inaso Hill|Summit|GU|66|Guam|010|131707N|1444004E|13.2852778|144.6677778|||||49|161|Merizo|02/06/1981|
1389742|Inaso Maso|Area|GU|66|Guam|010|132226N|1443902E|13.3738889|144.6505556|||||0|0|Agat|02/06/1981|
1389743|Inedo|Area|GU|66|Guam|010|132755N|1444220E|13.4652778|144.7055556|||||46|151|Hagatna|02/06/1981|
1389744|Apra Inner Harbor|Bay|GU|66|Guam|010|132544N|1444000E|13.4288889|144.6666667|||||0|0|Apra Harbor|01/01/2000|
1389745|Ipachol|Area|GU|66|Guam|010|131734N|1444508E|13.2927778|144.7522222|||||40|131|Talofofo|02/06/1981|
1389746|Ipapao|Populated Place|GU|66|Guam|010|133104N|1445122E|13.5177778|144.8561111|||||121|397|Dededo|02/06/1981|
1389747|Ipiga|Area|GU|66|Guam|010|133432N|1445223E|13.5755556|144.8730556|||||160|525|Ritidian Point|02/06/1981|
1389748|Iplaza|Locale|GU|66|Guam|010|131809N|1443933E|13.3025|144.6591667|||||39|128|Agat|02/06/1981|
1389749|Isengsong|Area|GU|66|Guam|010|133217N|1445130E|13.5380556|144.8583333|||||134|440|Dededo|02/06/1981|
1389750|Itadudong|Area|GU|66|Guam|010|132148N|1444322E|13.3633333|144.7227778|||||23|75|Talofofo|02/06/1981|
1389751|Itadudong|Area|GU|66|Guam|010|132747N|1444236E|13.4630556|144.71|||||50|164|Hagatna|02/06/1981|
1389752|Jade Shoals|Bar|GU|66|Guam|010|132710N|1443936E|13.4527778|144.66|||||0|0|Apra Harbor|02/06/1981|
